Name,,Sex,Age,Team,NOC,Year,City,Sport,Event,Gold,Bronze,Silver,None
Alexis Vuillermoz,,M,28,France,FRA,2016,Rio de Janeiro,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,0,0,1,1
Alexis Vuillermoz,,M,28,Germany,GER,2016,Rio de Janeiro,Football,Football Men's Football,0,0,1,1
Alfredo Talavera Daz,,M,33,France,FRA,2016,Rio de Janeiro,Athletics,Athletics Men's 110 metres Hurdles,0,1,0,1
Alice Sinno,,F,23,Austria,AUT,2014,Sochi,Ski Jumping,"Ski Jumping Men's Large Hill, Team",0,0,1,1
Alice Sotero,,F,25,Netherlands,NED,2014,Sochi,Speed Skating,"Speed Skating Men's 5,000 metres",1,0,0,1
Alicja Maria Tchrz,,F,23,Germany,GER,2016,Rio de Janeiro,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",1,0,0,1
Alicja Maria Tchrz,,F,23,Belgium,BEL,2016,Rio de Janeiro,Hockey,Hockey Men's Hockey,0,0,1,1
Alicja Maria Tchrz,,F,23,South Africa,RSA,2016,Rio de Janeiro,Rowing,Rowing Men's Coxless Pairs,0,0,1,1
Alina Gennadyevna Talay,,F,27,Italy,ITA,2016,Rio de Janeiro,Judo,Judo Men's Half-Lightweight,1,0,0,1
Alina V'iachelsavivna Stadnik (Makhynia-),,F,25,Latvia-1,LAT,2014,Sochi,Bobsleigh,Bobsleigh Men's Four,0,0,1,1
Alison Young,,F,29,Turkey,TUR,2016,Rio de Janeiro,Taekwondo,Taekwondo Women's Welterweight,0,1,0,1
Allans Josu Vargas Murillo,,M,22,Fiji,FIJ,2016,Rio de Janeiro,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,1,0,0,1
Almir Velagic,,M,34,France,FRA,2016,Rio de Janeiro,Fencing,"Fencing Men's Foil, Team",0,0,1,1
Alonso Valdez Prado,,M,38,Hungary,HUN,2016,Rio de Janeiro,Fencing,"Fencing Men's epee, Individual",0,0,1,1
Alphonce Felix Simbu,,M,24,United States,USA,2014,Sochi,Ice Hockey,Ice Hockey Women's Ice Hockey,0,0,1,1
Alvin Singh,,M,28,Canada,CAN,2014,Sochi,Figure Skating,Figure Skating Mixed Team,0,0,1,1
Alyxandria Treasure,,F,24,Denmark,DEN,2016,Rio de Janeiro,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",0,1,0,1
Amalie Ringtved Thomsen,,F,21,United States,USA,2016,Rio de Janeiro,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",0,1,0,1
Amalie Ringtved Thomsen,,F,21,United States,USA,2016,Rio de Janeiro,Water Polo,Water Polo Women's Water Polo,1,0,0,1
Amanda Jo Weir (-Davis),,F,30,South Korea,KOR,2016,Rio de Janeiro,Fencing,"Fencing Men's epee, Individual",1,0,0,1
Amanda Netto Simeo,,F,22,Canada,CAN,2014,Sochi,Ice Hockey,Ice Hockey Men's Ice Hockey,1,0,0,1
Amanda Netto Simeo,,F,22,Switzerland,SUI,2014,Sochi,Ice Hockey,Ice Hockey Women's Ice Hockey,0,1,0,1
Amanda Spratt,,F,28,United States,USA,2014,Sochi,Freestyle Skiing,Freestyle Skiing Women's Slopestyle,0,0,1,1
Amber Rose Kelsey Stackpole,,F,21,Canada,CAN,2014,Sochi,Curling,Curling Women's Curling,1,0,0,1
Amber Rose Kelsey Stackpole,,F,21,Canada,CAN,2014,Sochi,Snowboarding,Snowboarding Men's Slopestyle,0,1,0,1
Ambroise Uwiragiye,,M,35,China,CHN,2016,Rio de Janeiro,Boxing,Boxing Men's Flyweight,0,1,0,1
Ameen Zakkar,,M,22,France,FRA,2016,Rio de Janeiro,Archery,Archery Men's Individual,0,0,1,1
Ameer Kenneth Webb,,M,25,Romania,ROU,2016,Rio de Janeiro,Rowing,Rowing Women's Coxed Eights,0,1,0,1
Amel Tuka,,M,25,United States,USA,2016,Rio de Janeiro,Rowing,Rowing Women's Coxed Eights,1,0,0,1
Amela Terzi,,F,23,China,CHN,2016,Rio de Janeiro,Diving,Diving Men's Springboard,1,0,0,1
Amela Terzi,,F,23,China,CHN,2016,Rio de Janeiro,Diving,Diving Men's Synchronized Springboard,0,1,0,1
Amie Viveca Margaret Thompson,,F,20,United States,USA,2016,Rio de Janeiro,Athletics,Athletics Men's 4 x 400 metres Relay,1,0,0,1
Aminu Umar,,M,21,Germany,GER,2016,Rio de Janeiro,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",0,0,1,1
Amy Alexandra Wilson-Hardy,,F,24,Spain,ESP,2016,Rio de Janeiro,Basketball,Basketball Men's Basketball,0,1,0,1
Amy Tinkler,,F,16,Canada,CAN,2016,Rio de Janeiro,Athletics,Athletics Men's 200 metres,0,0,1,1
Amy Tinkler,,F,16,Canada,CAN,2016,Rio de Janeiro,Athletics,Athletics Men's 4 x 100 metres Relay,0,1,0,1
Amy Tinkler,,F,16,South Africa,RSA,2016,Rio de Janeiro,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,0,1,0,1
Amy Turner,,F,32,New Zealand,NZL,2016,Rio de Janeiro,Rugby Sevens,Rugby Sevens Women's Rugby Sevens,0,0,1,1
Ana imi,,F,26,Norway,NOR,2014,Sochi,Biathlon,Biathlon Women's 10 kilometres Pursuit,0,0,1,1
Ana Paula Vergutz,,F,27,China,CHN,2016,Rio de Janeiro,Gymnastics,Gymnastics Men's Team All-Around,0,1,0,1
Ana Paula Vergutz,,F,27,China,CHN,2016,Rio de Janeiro,Volleyball,Volleyball Women's Volleyball,1,0,0,1
Ana Zaninovi,,F,29,Netherlands,NED,2016,Rio de Janeiro,Sailing,Sailing Men's Windsurfer,1,0,0,1
Anabelle Smith,,F,23,Sweden,SWE,2014,Sochi,Ice Hockey,Ice Hockey Men's Ice Hockey,0,0,1,1
"Anamari ""Ana"" Velenek",,F,25,United States,USA,2016,Rio de Janeiro,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,1,0,0,1
Anastasiya Aleksandrovna Yatsevich,,F,31,Azerbaijan,AZE,2016,Rio de Janeiro,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",0,1,0,1
Anastasiya Alekseyevna Tatareva,,F,19,Australia,AUS,2016,Rio de Janeiro,Rowing,Rowing Men's Coxless Fours,0,0,1,1
Anastasiya Dmitriyevna Simanovich,,F,21,Norway,NOR,2014,Sochi,Ski Jumping,"Ski Jumping Men's Normal Hill, Individual",0,1,0,1
Anastasiya Ihorivna Todorova,,F,22,Switzerland,SUI,2016,Rio de Janeiro,Shooting,"Shooting Women's Sporting Pistol, 25 metres",0,1,0,1
Anastasiya Ihorivna Todorova,,F,22,Germany,GER,2016,Rio de Janeiro,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",0,0,1,1
Anastasiya Nikolayevna Starovoytova-Ivanova,,F,33,Canada,CAN,2014,Sochi,Ice Hockey,Ice Hockey Men's Ice Hockey,1,0,0,1
Anastasiya Romanivna Vozniak,,F,17,United States,USA,2016,Rio de Janeiro,Swimming,Swimming Women's 4 x 100 metres Medley Relay,1,0,0,1
Anastasiya Sergeyevna Voynova,,F,23,New Zealand,NZL,2016,Rio de Janeiro,Sailing,Sailing Women's Skiff,0,0,1,1
Anastasiya Sergeyevna Voynova,,F,23,New Zealand,NZL,2016,Rio de Janeiro,Sailing,Sailing Men's One Person Dinghy,0,1,0,1
Anastasiya Sergeyevna Voynova,,F,23,Netherlands-1,NED,2016,Rio de Janeiro,Beach Volleyball,Beach Volleyball Men's Beach Volleyball,0,1,0,1
Anastasiya Tyurina,,F,14,Germany,GER,2016,Rio de Janeiro,Hockey,Hockey Women's Hockey,0,1,0,1
Anastasiya Valeryevna Zuyeva-Fesikova,,F,26,China,CHN,2016,Rio de Janeiro,Taekwondo,Taekwondo Women's Heavyweight,1,0,0,1
Anastasiya Valeryevna Zuyeva-Fesikova,,F,26,Russia,RUS,2016,Rio de Janeiro,Handball,Handball Women's Handball,1,0,0,1
Anastasiya Valeryevna Zuyeva-Fesikova,,F,26,Russia,RUS,2016,Rio de Janeiro,Wrestling,"Wrestling Women's Lightweight, Freestyle",0,0,1,1
Anastasiya Vladimirovna Veremeyenko,,F,29,Germany,GER,2016,Rio de Janeiro,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",1,0,0,1
Anastasiya Yurivna Spas,,F,22,South Korea,KOR,2014,Sochi,Speed Skating,Speed Skating Men's Team Pursuit (8 laps),0,0,1,1
Anders Weiss,,M,23,Russia,RUS,2016,Rio de Janeiro,Gymnastics,Gymnastics Women's Team All-Around,0,0,1,1
Andr Soares,,M,32,Canada,CAN,2014,Sochi,Ice Hockey,Ice Hockey Women's Ice Hockey,1,0,0,1
Andrea Tiberi,,M,30,Germany,GER,2016,Rio de Janeiro,Football,Football Women's Football,1,0,0,1
Andrea Toniato,,M,25,Great Britain,GBR,2016,Rio de Janeiro,Equestrianism,"Equestrianism Mixed Dressage, Individual",1,0,0,1
Andrea Toniato,,M,25,Great Britain,GBR,2016,Rio de Janeiro,Equestrianism,"Equestrianism Mixed Dressage, Team",0,0,1,1
Andreas Toba,,M,25,Germany,GER,2016,Rio de Janeiro,Equestrianism,"Equestrianism Mixed Jumping, Team",0,1,0,1
Andreas Toba,,M,25,Belgium,BEL,2016,Rio de Janeiro,Cycling,Cycling Women's Omnium,0,1,0,1
Andreas Toba,,M,25,Italy,ITA,2016,Rio de Janeiro,Rowing,Rowing Men's Coxless Pairs,0,1,0,1
Andreas Toba,,M,25,Italy,ITA,2016,Rio de Janeiro,Fencing,"Fencing Women's Foil, Individual",0,0,1,1
Andreas Toba,,M,25,Italy,ITA,2016,Rio de Janeiro,Water Polo,Water Polo Men's Water Polo,0,1,0,1
Andreas Vazaios,,M,22,Lithuania,LTU,2016,Rio de Janeiro,Canoeing,"Canoeing Men's Kayak Doubles, 200 metres",0,1,0,1
Andreas Vazaios,,M,22,Italy,ITA,2016,Rio de Janeiro,Volleyball,Volleyball Men's Volleyball,0,0,1,1
Andreas Wolff,,M,25,Canada,CAN,2016,Rio de Janeiro,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,0,1,0,1
"Andrew ""Andy"" Triggs Hodge",,M,37,Australia,AUS,2016,Rio de Janeiro,Canoeing,"Canoeing Women's Kayak Singles, Slalom",0,1,0,1
"Andrew James ""Andy"" Vernon",,M,30,Spain,ESP,2016,Rio de Janeiro,Basketball,Basketball Men's Basketball,0,1,0,1
Andrew Willis,,M,25,Great Britain,GBR,2016,Rio de Janeiro,Hockey,Hockey Women's Hockey,1,0,0,1
Andrew Yorke,,M,27,Fiji,FIJ,2016,Rio de Janeiro,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,1,0,0,1
Andrey Andreyevich Yerguchov,,M,21,France,FRA,2016,Rio de Janeiro,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,0,0,1,1
Andrey Andreyevich Yerguchov,,M,21,Belarus,BLR,2016,Rio de Janeiro,Weightlifting,Weightlifting Men's Middle-Heavyweight,0,0,1,1
Andrey Dmitriyevich Yudin,,M,20,Australia,AUS,2016,Rio de Janeiro,Rugby Sevens,Rugby Sevens Women's Rugby Sevens,1,0,0,1
Andrey Viktorovich Zamkovoy,,M,29,South Africa,RSA,2016,Rio de Janeiro,Swimming,Swimming Men's 100 metres Breaststroke,0,0,1,1
Andrey Zeyts,,M,29,Russia,RUS,2016,Rio de Janeiro,Cycling,Cycling Women's Team Sprint,0,0,1,1
Andrey Zeyts,,M,29,Russia,RUS,2016,Rio de Janeiro,Handball,Handball Women's Handball,1,0,0,1
Andrija ljuki,,M,20,United States,USA,2014,Sochi,Figure Skating,Figure Skating Mixed Team,0,1,0,1
Andriy Andriyovych Yahodka,,M,28,Netherlands,NED,2016,Rio de Janeiro,Rowing,Rowing Men's Coxed Eights,0,1,0,1
Ane Tavar,,M,21,Tunisia,TUN,2016,Rio de Janeiro,Fencing,"Fencing Women's Foil, Individual",0,1,0,1
Ane Tavar,,M,21,United States,USA,2016,Rio de Janeiro,Diving,Diving Men's Platform,0,1,0,1
Anette Viborg Andreasen,,F,25,Netherlands,NED,2016,Rio de Janeiro,Rowing,Rowing Men's Coxed Eights,0,1,0,1
Angela Patricia Whyte,,F,36,Italy,ITA,2016,Rio de Janeiro,Water Polo,Water Polo Men's Water Polo,0,1,0,1
Angelica Walln,,F,30,Italy,ITA,2016,Rio de Janeiro,Rowing,Rowing Men's Coxless Fours,0,1,0,1
"Angeliki ""Gelly"" Skarlatou",,F,40,United States,USA,2014,Sochi,Snowboarding,Snowboarding Women's Halfpipe,1,0,0,1
Angelos Vlachopoulos,,M,24,Colombia,COL,2016,Rio de Janeiro,Boxing,Boxing Men's Light-Flyweight,0,0,1,1
Anicka van Emden,,F,29,Turkey,TUR,2016,Rio de Janeiro,Wrestling,"Wrestling Men's Super-Heavyweight, Greco-Roman",0,0,1,1
Anilda Thomas,,F,23,Great Britain,GBR,2016,Rio de Janeiro,Athletics,Athletics Women's 4 x 400 metres Relay,0,1,0,1
Anisha Vekemans,,F,24,South Africa,RSA,2016,Rio de Janeiro,Swimming,Swimming Men's 200 metres Freestyle,0,0,1,1
Anita Wodarczyk,,F,30,Australia,AUS,2016,Rio de Janeiro,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",0,1,0,1
Anju Takamizawa,,F,20,United States,USA,2016,Rio de Janeiro,Swimming,Swimming Women's 100 metres Backstroke,0,0,1,1
Anna Malvina Svennung,,F,31,Great Britain,GBR,2014,Sochi,Skeleton,Skeleton Women's Skeleton,1,0,0,1
"Anna Sarah ""Sophie"" Souwer",,F,29,Canada,CAN,2014,Sochi,Ice Hockey,Ice Hockey Women's Ice Hockey,1,0,0,1
Anna Skidan,,F,24,United States-1,USA,2014,Sochi,Bobsleigh,Bobsleigh Men's Four,0,1,0,1
Anna Sztankovics,,F,20,Niger,NIG,2016,Rio de Janeiro,Taekwondo,Taekwondo Men's Heavyweight,0,0,1,1
Anna Sztankovics,,F,20,United States,USA,2016,Rio de Janeiro,Athletics,Athletics Women's 100 metres Hurdles,0,0,1,1
Anna V'iacheslavivna Voloshyna,,F,24,Great Britain,GBR,2016,Rio de Janeiro,Hockey,Hockey Women's Hockey,1,0,0,1
Anna V'iacheslavivna Voloshyna,,F,24,New Zealand,NZL,2016,Rio de Janeiro,Athletics,Athletics Women's Pole Vault,0,1,0,1
Anna van der Breggen,,F,26,Serbia,SRB,2016,Rio de Janeiro,Basketball,Basketball Men's Basketball,0,0,1,1
Anna van der Breggen,,F,26,Great Britain,GBR,2016,Rio de Janeiro,Boxing,Boxing Men's Super-Heavyweight,0,0,1,1
Anna Viktorovna Timofeyeva,,F,29,United States,USA,2016,Rio de Janeiro,Equestrianism,"Equestrianism Mixed Jumping, Team",0,0,1,1
Anna Viktorovna Vyakhireva,,F,21,Poland,POL,2016,Rio de Janeiro,Wrestling,"Wrestling Women's Middleweight, Freestyle",0,1,0,1
Anna Vladimirovna Ustyukhina,,F,27,Czech Republic,CZE,2016,Rio de Janeiro,Tennis,Tennis Mixed Doubles,0,1,0,1
Anna Wierzbowska,,F,25,Denmark,DEN,2016,Rio de Janeiro,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",0,1,0,1
Anne Lolk Thomsen,,F,33,Spain,ESP,2016,Rio de Janeiro,Canoeing,"Canoeing Men's Kayak Singles, 200 metres",0,1,0,1
Anne Terpstra,,F,25,Italy,ITA,2016,Rio de Janeiro,Shooting,"Shooting Men's Air Rifle, 10 metres",1,0,0,1
Anne Zagr,,F,26,Kazakhstan,KAZ,2016,Rio de Janeiro,Weightlifting,Weightlifting Men's Light-Heavyweight,0,1,0,1
Annekatrin Thiele,,F,31,China,CHN,2016,Rio de Janeiro,Sailing,Sailing Women's Windsurfer,0,0,1,1
